reference,gemini_inference
"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, avg(p.unitPrice) AS avgUnitPrice ORDER BY avgUnitPrice DESC LIMIT 5 RETURN s.companyName AS Supplier, avgUnitPrice AS AverageUnitPrice","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
RETURN s.companyName AS SupplierName, avg(p.unitPrice) AS AverageUnitPrice
ORDER BY AverageUnitPrice DESC
LIMIT 5"
MATCH (t:Technician) WHERE NOT EXISTS ((:RepairAssignment)-[:ASSIGNED_TO]->(t)) RETURN t.Name,"MATCH (t:Technician)
WHERE NOT EXISTS {
  (ra:RepairAssignment)-[:ASSIGNED_TO]->(t),
  (ra)-[:ASSIGNED_TO]->(:Machine)
}
RETURN t.Name"
"MATCH (n:Topic) WHERE NOT n.label STARTS WITH 'P' RETURN DISTINCT n.label AS label, n.description AS description","MATCH (t:Topic)
WHERE NOT t.label STARTS WITH 'P'
RETURN DISTINCT t.label, t.description"
MATCH (c:Company) RETURN count(c),"MATCH (c:Company)
RETURN count(c)"
MATCH (a:Article)-[:MENTIONS]->(o:Organization {name: 'New Energy Group'}) RETURN a,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WHERE o.name = 'New Energy Group'
RETURN a"
"MATCH (n:District) WHERE n.City_Population >= 200000 AND n.City_Population <= 2000000 RETURN n.District_name, n.City_Population","MATCH (d:District)
WHERE d.City_Population >= 200000 AND d.City_Population <= 2000000
RETURN d.District_name, d.City_Population"
MATCH (n:Article) -[:PUBLISHED_IN{pages: '1-31'}]->(m:Journal) WHERE m.title < date('2020-12-31') RETURN avg(m.name) AS avg_name,"MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE r.pages = '1-31'
  AND date(a.title) < date('2020-12-31')
RETURN avg(size(j.name)) AS averageJournalNameLength"
"MATCH (t1:hiring)-[]-(t2:shop) WITH t2, count(t1.Shop_ID) AS cnt RETURN t2.Name ORDER BY cnt DESC LIMIT 1","MATCH (s:shop)-[:hiring]->(e:employee)
WITH s, COUNT(e) AS num_employees_hired
ORDER BY num_employees_hired DESC
LIMIT 1
RETURN s.name"
"MATCH (d:domain {name: 'Robotics'})<-[:paper_in_domain]-(p:paper)-[:paper_in_venue]->(c:conference)<-[:author_in_affiliation]-(a:author)-[:author_in_affiliation]->(aff:affiliation {name: 'Tsinghua University'}) RETURN c.name, COUNT(p) AS num_papers ORDER BY num_papers DESC","MATCH (c:conference)<-[:paper_in_venue]-(p:paper)-[:paper_in_domain]->(d:domain)
WHERE d.name = 'Robotics'
MATCH (p)<-[:author_write_paper]-(a:author)-[:author_in_affiliation]->(af:affiliation)
WHERE af.name = 'Tsinghua University'
WITH c, COUNT(DISTINCT p) AS num_papers
ORDER BY num_papers DESC
LIMIT 1
RETURN c.name AS conference_name, num_papers"
"MATCH (m:Musical) WHERE m.Award <> ""Tony Award"" RETURN DISTINCT m.Nominee","MATCH (m:Musical)
WHERE m.Award <> ""Tony Award""
RETURN DISTINCT m.Nominee"
"MATCH (n:Article) -[:HAS_DOI]->(m:DOI) WITH DISTINCT n, m RETURN n.abstract AS abstract, count(m) AS count LIMIT 20","MATCH (a:Article)-[:HAS_DOI]->(d:DOI)
WITH a, count(d) AS doiCount
RETURN a.abstract, doiCount
LIMIT 20"
"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WITH g, avg(m.revenue) AS avg_revenue ORDER BY avg_revenue ASC LIMIT 3 RETURN g.name AS genre, avg_revenue","MATCH (movie:Movie)-[:IN_GENRE]->(genre:Genre)
WHERE movie.revenue IS NOT NULL
RETURN genre.name AS genreName, avg(movie.revenue) AS averageRevenue
ORDER BY averageRevenue ASC
LIMIT 3"
