reference,inference
"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, avg(p.unitPrice) AS avgUnitPrice ORDER BY avgUnitPrice DESC LIMIT 5 RETURN s.companyName AS Supplier, avgUnitPrice AS AverageUnitPrice","```cypher
MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
WITH s, COLLECT(p.unitPrice) AS prices
ORDER BY AVG(prices) DESC
LIMIT 5
RETURN s.companyName, AVG(prices) AS averageUnitPrice
```"
MATCH (t:Technician) WHERE NOT EXISTS ((:RepairAssignment)-[:ASSIGNED_TO]->(t)) RETURN t.Name,"```cypher
MATCH (t:Technician)
WHERE NOT t.ASSIGNED_TO
RETURN t.Name
```"
"MATCH (n:Topic) WHERE NOT n.label STARTS WITH 'P' RETURN DISTINCT n.label AS label, n.description AS description","```cypher
MATCH (t:Topic)
WHERE NOT t.label STARTS WITH ""P""
RETURN DISTINCT t.label, t.description
```"
MATCH (c:Company) RETURN count(c),"```cypher
MATCH (c:Company)
RETURN count(c)
```"
MATCH (a:Article)-[:MENTIONS]->(o:Organization {name: 'New Energy Group'}) RETURN a,"```cypher
MATCH (o:Organization {name: ""New Energy Group""})-[[:MENTIONS]]->(a:Article)
RETURN a
```"
"MATCH (n:District) WHERE n.City_Population >= 200000 AND n.City_Population <= 2000000 RETURN n.District_name, n.City_Population","```cypher
MATCH (d:District)
WHERE d.City_Population >= 200000 AND d.City_Population <= 2000000
RETURN d.District_name, d.City_Population
```"
MATCH (n:Article) -[:PUBLISHED_IN{pages: '1-31'}]->(m:Journal) WHERE m.title < date('2020-12-31') RETURN avg(m.name) AS avg_name,"```cypher
MATCH (a:Article)-[r:PUBLISHED_IN]->(j:Journal)
WHERE r.pages >= 1 AND r.pages <= 31 AND a.title < '2021-01-01'
RETURN j.name AS AverageJournalName
```"
"MATCH (t1:hiring)-[]-(t2:shop) WITH t2, count(t1.Shop_ID) AS cnt RETURN t2.Name ORDER BY cnt DESC LIMIT 1","```cypher
MATCH (shop:shop)-[:HIRING]->(employee:employee)
RETURN shop.name AS shop_name, count(employee) AS num_employees_hired
ORDER BY num_employees_hired DESC
LIMIT 1
```"
"MATCH (d:domain {name: 'Robotics'})<-[:paper_in_domain]-(p:paper)-[:paper_in_venue]->(c:conference)<-[:author_in_affiliation]-(a:author)-[:author_in_affiliation]->(aff:affiliation {name: 'Tsinghua University'}) RETURN c.name, COUNT(p) AS num_papers ORDER BY num_papers DESC","```cypher
MATCH (a:author)-[:author_in_affiliation]->(u:affiliation {name: 'Tsinghua University'})
MATCH (p:paper)-[:author_write_paper]->(a)
MATCH (p)-[:paper_in_venue]->(c:conference)
RETURN c.name AS conference_name, count(p) AS paper_count
ORDER BY paper_count DESC
```"
"MATCH (m:Musical) WHERE m.Award <> ""Tony Award"" RETURN DISTINCT m.Nominee","```cypher
MATCH (m:Musical)-[:NOMINEE]->(a:Actor)
WHERE NOT m.Award = ""Tony Award""
RETURN DISTINCT a.Name AS Nominees
```"
"MATCH (n:Article) -[:HAS_DOI]->(m:DOI) WITH DISTINCT n, m RETURN n.abstract AS abstract, count(m) AS count LIMIT 20","```cypher
MATCH (a:Article)-[:HAS_DOI]->(d:DOI)
WITH a, COLLECT(d) AS doi_counts
RETURN a.abstract AS abstract, COUNT(doi_counts) AS doi_count
LIMIT 20
```

**Explanation:**

1.  **`MATCH (a:Article)-[:HAS_DOI]->(d:DOI)`**: This part of the query finds all articles (`a:Article`) that have a `HAS_DOI` relationship to a DOI (`d:DOI`).
2.  **`WITH a, COLLECT(d) AS doi_counts`**: This part groups the DOIs linked to each article into a list called `doi_counts`.
3.  **`RETURN a.abstract AS abstract, COUNT(doi_counts) AS doi_count`**: This part returns the `abstract` of each article and the count of the `doi_counts` list (which represents the number of DOIs linked to that article).
4.  **`LIMIT 20`**: This limits the result to the first 20 articles."
"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WITH g, avg(m.revenue) AS avg_revenue ORDER BY avg_revenue ASC LIMIT 3 RETURN g.name AS genre, avg_revenue","```cypher
MATCH (m:Movie)-[:IN_GENRE]->(g:Genre)
WITH g, sum(m.revenue) AS total_revenue
ORDER BY total_revenue ASC
LIMIT 3
RETURN g.name AS genre, total_revenue
```"
"MATCH (user:User)-[:VIP]->(stream:Stream) WITH user, count(DISTINCT stream) AS vip_stream_count WHERE vip_stream_count >= 3 MATCH (user)-[:MODERATOR]->(:Stream) RETURN count(DISTINCT user) AS vip_moderator_count","```cypher
MATCH (u:User)-[:VIP]->(s:Stream)-[:VIP]->(u2:User)
WHERE u <> u2 AND count(u2) >= 3
MATCH (u:User)-[:MODERATOR]->(s:Stream)
WHERE count(s) >= 1
RETURN u
```"
MATCH (t:Tweet) RETURN t.id ORDER BY t.created_at ASC LIMIT 1,"```cypher
MATCH (me:Me)-[:POSTS]->(tweet:Tweet)
RETURN tweet AS tweet
ORDER BY tweet.created_at ASC
LIMIT 1
```"
"MATCH (p:Product) WITH p.Product_Type_Code AS Product_Type_Code, COUNT(p) as count WHERE count >= 2 RETURN Product_Type_Code","```cypher
MATCH (p:Product)-[:CONTAINS]->(productInEvent:ProductsInEvent)
RETURN p.Product_Type_Code
GROUP BY p.Product_Type_Code
HAVING count(productInEvent) >= 2
```"
"MATCH (n:Article) -[r:PUBLISHED_IN]->(m:Journal) WHERE r.year='2000' WITH DISTINCT n, m RETURN n.title AS title, count(m) AS count LIMIT 20","```cypher
MATCH (a:Article)-[:start {type: 'PUBLISHED_IN'}]->(j:Journal)
WHERE a.title CONTAINS ""20"" AND j.year = ""2000""
RETURN a.title, count(a) AS journal_count
```"
"MATCH (neo4j:Me {screen_name: 'neo4j'})<-[:FOLLOWS]-(user:User) RETURN user.screen_name, user.name, user.followers, user.following, user.profile_image_url, user.url, user.location, user.statuses ORDER BY user.followers DESC LIMIT 5","```cypher
MATCH (u:User {name: ""Neo4j""})-[:FOLLOWS]->(f:User)
RETURN f
ORDER BY f.created_at DESC
LIMIT 5
```"
