reference,inference
"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, avg(p.unitPrice) AS avgUnitPrice ORDER BY avgUnitPrice DESC LIMIT 5 RETURN s.companyName AS Supplier, avgUnitPrice AS AverageUnitPrice","```cypher
MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)
WITH s, COLLECT(p.unitPrice) AS prices
ORDER BY AVG(prices) DESC
LIMIT 5
RETURN s.companyName, AVG(prices) AS averageUnitPrice
```"
MATCH (t:Technician) WHERE NOT EXISTS ((:RepairAssignment)-[:ASSIGNED_TO]->(t)) RETURN t.Name,"```cypher
MATCH (t:Technician)-[:ASSIGNED_TO]->(r:RepairAssignment)
WHERE t.technician_id IS NOT NULL
RETURN t.Name
```"
"MATCH (n:Topic) WHERE NOT n.label STARTS WITH 'P' RETURN DISTINCT n.label AS label, n.description AS description","```cypher
MATCH (t:Topic)
WHERE NOT t.label STARTS WITH ""P""
RETURN DISTINCT t.label, t.description
```"
MATCH (c:Company) RETURN count(c),"```cypher
MATCH (c:Company)
RETURN count(c)
```"
MATCH (a:Article)-[:MENTIONS]->(o:Organization {name: 'New Energy Group'}) RETURN a,"```cypher
MATCH (o:Organization {name: ""New Energy Group""})-[:MENTIONS]->(a:Article)
RETURN a
```"
"MATCH (n:District) WHERE n.City_Population >= 200000 AND n.City_Population <= 2000000 RETURN n.District_name, n.City_Population","```cypher
MATCH (d:District)
WHERE d.City_Population >= 200000 AND d.City_Population <= 2000000
RETURN d.District_name, d.City_Population
```"
MATCH (n:Article) -[:PUBLISHED_IN{pages: '1-31'}]->(m:Journal) WHERE m.title < date('2020-12-31') RETURN avg(m.name) AS avg_name,"```cypher
MATCH (a:Article)-[:PUBLISHED_IN]->(j:Journal)
WHERE a.title ?<= ""December 31, 2020""
AND j.name
AND j.pages >= 1 AND j.pages <= 31
RETURN avg(j.name) AS AverageJournalName
```"
"MATCH (t1:hiring)-[]-(t2:shop) WITH t2, count(t1.Shop_ID) AS cnt RETURN t2.Name ORDER BY cnt DESC LIMIT 1","```cypher
MATCH (shop:shop)-[:HIRING]->(employee:employee)
RETURN shop.name AS shop_name, count(employee) AS number_of_employees
ORDER BY number_of_employees DESC
LIMIT 1
```"
"MATCH (d:domain {name: 'Robotics'})<-[:paper_in_domain]-(p:paper)-[:paper_in_venue]->(c:conference)<-[:author_in_affiliation]-(a:author)-[:author_in_affiliation]->(aff:affiliation {name: 'Tsinghua University'}) RETURN c.name, COUNT(p) AS num_papers ORDER BY num_papers DESC","```cypher
MATCH (a:author)-[:author_in_affiliation]->(af:affiliation {name: 'Tsinghua University'})
MATCH (p:paper)-[r:paper_in_venue]->(c:conference)
RETURN c.name AS conference_name, count(r) AS paper_count
ORDER BY paper_count DESC
```"
"MATCH (m:Musical) WHERE m.Award <> ""Tony Award"" RETURN DISTINCT m.Nominee","```cypher
MATCH (mus:Musical)-[:NOMINEE]->(nom:Nominee)
WHERE NOT mus.Award = ""Tony Award""
RETURN DISTINCT nom.Nominee
```"
